class,image_path,native_loss,signed_loss,loss_delta,native_pAP,signed_pAP,pAP_delta
candle,candle/Data/Images/Anomaly/000.JPG,1.0067155361175537,1.0054205656051636,-0.0012949705123901367,0.6185749264639643,0.6231140045499276,0.004539078085963322
candle,candle/Data/Images/Anomaly/001.JPG,0.5160232186317444,0.4663081467151642,-0.0497150719165802,0.8018200108074369,0.8313047940653884,0.029484783257951452
candle,candle/Data/Images/Anomaly/002.JPG,0.9200572967529297,0.42159217596054077,-0.4984651207923889,0.6423928340958651,0.6426217253041356,0.00022889120827052079
candle,candle/Data/Images/Anomaly/003.JPG,0.9622758626937866,0.5700322985649109,-0.39224356412887573,0.4726291768568351,0.4738678455793954,0.0012386687225602877
candle,candle/Data/Images/Anomaly/004.JPG,0.9551233053207397,0.38921794295310974,-0.56590536236763,0.8056958471140102,0.8061196546955836,0.0004238075815733433
candle,candle/Data/Images/Anomaly/005.JPG,0.5967068076133728,0.5662292838096619,-0.030477523803710938,0.3340321241156605,0.5133046324786783,0.17927250836301778
candle,candle/Data/Images/Anomaly/006.JPG,0.7675857543945312,0.37585732340812683,-0.3917284309864044,0.6741664788939644,0.6742435686858954,7.708979193099541e-05
candle,candle/Data/Images/Anomaly/007.JPG,0.9006137251853943,0.4635482132434845,-0.4370655119419098,0.8074962456778906,0.810313439253527,0.0028171935756363675
candle,candle/Data/Images/Anomaly/008.JPG,0.8026456832885742,0.4016864597797394,-0.40095922350883484,0.896902592606368,0.8972268900896196,0.00032429748325168983
candle,candle/Data/Images/Anomaly/009.JPG,0.5651535391807556,0.2949362099170685,-0.27021732926368713,0.9426334071144662,0.9427701132359099,0.0001367061214436749
candle,candle/Data/Images/Anomaly/010.JPG,1.031319260597229,0.997519850730896,-0.03379940986633301,0.4706038189249484,0.4711879350043234,0.0005841160793749745
candle,candle/Data/Images/Anomaly/011.JPG,1.0401208400726318,0.9283691048622131,-0.1117517352104187,0.640117689191619,0.6401300600939571,1.2370902338076917e-05
candle,candle/Data/Images/Anomaly/012.JPG,1.005720853805542,0.6000742316246033,-0.4056466221809387,0.7834343176987448,0.7835569215071765,0.00012260380843165386
candle,candle/Data/Images/Anomaly/013.JPG,1.006135106086731,0.9904135465621948,-0.015721559524536133,0.29087617876501093,0.29118288526791664,0.000306706502905707
