arm,dataset,error_type,file_name,label,cls_score
H,Brain,highest_scoring_negative,good/img/01146_61.png,0,0.8544968962669373
H,Brain,highest_scoring_negative,good/img/00799_60.png,0,0.8533552885055542
H,Brain,highest_scoring_negative,good/img/01146_60.png,0,0.8530187010765076
H,Brain,highest_scoring_negative,good/img/01146_62.png,0,0.85293048620224
H,Brain,highest_scoring_negative,good/img/00799_61.png,0,0.8518310189247131
H,Brain,highest_scoring_negative,good/img/00231_61.png,0,0.8506935238838196
H,Brain,highest_scoring_negative,good/img/00231_60.png,0,0.8505423069000244
H,Brain,highest_scoring_negative,good/img/00146_62.png,0,0.8503158092498779
H,Brain,highest_scoring_negative,good/img/00146_60.png,0,0.8502311110496521
H,Brain,highest_scoring_negative,good/img/01062_62.png,0,0.8497809767723083
H,Brain,lowest_scoring_positive,Ungood/img/01265_92.png,1,0.47070664167404175
H,Brain,lowest_scoring_positive,Ungood/img/00112_92.png,1,0.510876476764679
H,Brain,lowest_scoring_positive,Ungood/img/01262_76.png,1,0.5172224044799805
H,Brain,lowest_scoring_positive,Ungood/img/01429_76.png,1,0.5186904072761536
H,Brain,lowest_scoring_positive,Ungood/img/01170_84.png,1,0.5232458114624023
H,Brain,lowest_scoring_positive,Ungood/img/01646_92.png,1,0.5289841890335083
H,Brain,lowest_scoring_positive,Ungood/img/01170_92.png,1,0.532342255115509
H,Brain,lowest_scoring_positive,Ungood/img/01482_92.png,1,0.5394063591957092
H,Brain,lowest_scoring_positive,Ungood/img/01502_76.png,1,0.5436180233955383
H,Brain,lowest_scoring_positive,Ungood/img/00725_92.png,1,0.5536530017852783
H,Colon_Kvasir,lowest_scoring_positive,images/ck2da7fwcjfis07218r1rvm95.png,1,0.5191066265106201
H,Colon_Kvasir,lowest_scoring_positive,images/cju1f5x1164xv08555654c24r.png,1,0.5670310258865356
H,Colon_Kvasir,lowest_scoring_positive,images/cju41p90plcsx08018cnzpndc.png,1,0.5694308280944824
H,Colon_Kvasir,lowest_scoring_positive,images/cju1dq3x1vgx109889c7wyirg.png,1,0.6578294038772583
H,Colon_Kvasir,lowest_scoring_positive,images/cju5wqonpm0e60801z88ewmy1.png,1,0.6792048215866089
H,Colon_Kvasir,lowest_scoring_positive,images/cju7fbndk2sl608015ravktum.png,1,0.6914878487586975
H,Colon_Kvasir,lowest_scoring_positive,images/cju40wto5kxwi0755it190f2k.png,1,0.6960676908493042
H,Colon_Kvasir,lowest_scoring_positive,images/cju2t62nq45jl0799odpufwx6.png,1,0.6995810866355896
H,Colon_Kvasir,lowest_scoring_positive,images/cju893jmdompz0817xn3g1w4h.png,1,0.7088297009468079
H,Colon_Kvasir,lowest_scoring_positive,images/cju3xiic0ilzp0850lusrb42j.png,1,0.7196279764175415
H,Colon_clinicDB,lowest_scoring_positive,images/153.png,1,0.49167710542678833
