checkpoint,image_index,category,file_name,near_p95,near_p99,far_p95,boundary_p95,interior_mean,boundary_mean,near_mean,interior_mean_minus_near_mean,boundary_mean_minus_near_mean,near_gt_positive_inversion,near_gt_interior_inversion,leakage_image_definition_pass
SAFE_ANCHOR_E10,4,candle,candle/Data/Images/Anomaly/026.JPG,0.022568613290786743,0.041656844317913055,1.4145904003726173e-08,0.04543257877230644,0.028310492634773254,0.014640863984823227,0.004750065039843321,0.023560427594929934,0.009890798944979906,0.18141592920353983,0.03954802259887006,False
SAFE_ANCHOR_E10,5,candle,candle/Data/Images/Anomaly/023.JPG,0.02031567133963108,0.04546879976987839,1.380595371358595e-08,0.023456765338778496,0.01011266652494669,0.006201245356351137,0.0036975203547626734,0.006415146170184016,0.002503725001588464,0.32831325301204817,0.17985611510791366,True
SAFE_ANCHOR_E10,6,candle,candle/Data/Images/Anomaly/045.JPG,1.8281073153048055e-06,1.9030501334782457e-06,1.448184239194461e-08,1.937450861078105e-06,,1.7595351664567715e-06,1.399757934450463e-06,,3.597772320063086e-07,0.08333333333333333,,True
SAFE_ANCHOR_E10,7,candle,candle/Data/Images/Anomaly/033.JPG,1.1111175091116365e-08,1.1515699505082466e-08,1.1588188186806292e-08,1.1534532440293788e-08,1.0037535247420237e-08,9.258608102413746e-09,9.093093389367368e-09,9.44441858052869e-10,1.6551471304637744e-10,0.4428904428904429,0.2361111111111111,False
SAFE_ANCHOR_E10,12,pcb3,pcb3/Data/Images/Anomaly/070.JPG,0.004283049609512091,0.006663251668214798,2.36861161795332e-08,0.01659204624593258,0.014944546855986118,0.0046926806680858135,0.0010639976244419813,0.013880549231544137,0.003628683043643832,0.18181818181818182,0.009345794392523364,False
SAFE_ANCHOR_E10,13,pcb3,pcb3/Data/Images/Anomaly/043.JPG,8.302491139033918e-09,8.574300380814748e-09,1.7085865167132397e-08,8.131658901788796e-09,5.907297762064445e-09,6.497763216373187e-09,6.507792082999231e-09,-6.004943209347857e-10,-1.0028866626043964e-11,0.5933794466403162,0.6230237154150198,False
SAFE_ANCHOR_E10,14,pcb3,pcb3/Data/Images/Anomaly/084.JPG,0.0034712175838649273,0.005519847851246595,2.1161849161899227e-08,0.004074396099895239,0.0034714166540652514,0.001224790932610631,0.0006023306050337851,0.0028690860490314662,0.0006224603275768459,0.30134680134680136,0.0,True
SAFE_ANCHOR_E10,15,pcb3,pcb3/Data/Images/Anomaly/082.JPG,0.008509592153131962,0.014363909140229225,2.087744199741337e-08,0.008071008138358593,,0.0020410900469869375,0.001558396383188665,,0.0004826936637982726,0.4031413612565445,,True
SAFE_ANCHOR_E10,20,capsules,capsules/Data/Images/Anomaly/096.JPG,8.533234904462006e-06,1.0511170330573805e-05,1.7446948774590965e-08,7.5237121563986875e-06,3.3436226658523083e-06,3.1935130664351163e-06,2.0785876131412806e-06,1.2650350527110277e-06,1.1149254532938357e-06,0.30851063829787234,0.21428571428571427,True
SAFE_ANCHOR_E10,21,capsules,capsules/Data/Images/Anomaly/085.JPG,0.2254667580127716,0.3700876832008362,2.22629026325194e-08,0.4470098614692688,0.19989199936389923,0.1026693657040596,0.035738930106163025,0.1641530692577362,0.06693043559789658,0.2533062054933876,0.125,True
SAFE_ANCHOR_E10,22,capsules,capsules/Data/Images/Anomaly/073.JPG,0.055056147277355194,0.111327163875103,2.6451557388895708e-08,0.38965556025505066,0.5978947281837463,0.06815271824598312,0.009229323826730251,0.5886654043570161,0.05892339441925287,0.1278825995807128,0.08280922431865828,False
SAFE_ANCHOR_E10,23,capsules,capsules/Data/Images/Anomaly/024.JPG,2.282862988067791e-05,3.507874862407334e-05,1.398733573410027e-08,3.0370598324225284e-05,1.4114996702119242e-05,1.4767782886337955e-05,9.694346772448625e-06,4.420649929670617e-06,5.073436113889329e-06,0.27624309392265195,0.2647058823529412,True
SAFE_ANCHOR_E10,28,pipe_fryum,pipe_fryum/Data/Images/Anomaly/014.JPG,0.03220854699611664,0.03953734040260315,1.77959798008942e-08,0.07542117685079575,0.08131366223096848,0.023353666067123413,0.00707737822085619,0.07423628401011229,0.016276287846267223,0.1252847380410023,0.04953560371517028,False
SAFE_ANCHOR_E10,29,pipe_fryum,pipe_fryum/Data/Images/Anomaly/021.JPG,0.0015083145117387176,0.002014143392443657,1.7633809079597995e-08,0.001881599542684853,0.0014328224351629615,0.0009678606875240803,0.0005168268107809126,0.0009159956243820488,0.00045103387674316764,0.16666666666666666,0.08771929824561403,True
SAFE_ANCHOR_E10,30,pipe_fryum,pipe_fryum/Data/Images/Anomaly/019.JPG,0.3145321011543274,0.5648059844970703,2.1417973172788152e-08,0.6601064205169678,0.30136021971702576,0.10740531235933304,0.04535570740699768,0.2560045123100281,0.06204960495233536,0.2102803738317757,0.1059190031152648,False
SAFE_ANCHOR_E10,31,pipe_fryum,pipe_fryum/Data/Images/Anomaly/084.JPG,0.18569721281528473,0.23061174154281616,2.176848212798177e-08,0.19808736443519592,,0.04018300771713257,0.026985347270965576,,0.013197660446166992,0.3657219973009447,,True
SAFE_ANCHOR_E10,36,pcb4,pcb4/Data/Images/Anomaly/048.JPG,1.971196041949952e-07,4.313831993840722e-07,4.3561502849343015e-08,1.688644886144175e-07,2.7644233568935306e-08,3.293085271138807e-08,3.7252885221050747e-08,-9.60865165211544e-09,-4.322032509662677e-09,0.47540983606557374,0.4544626593806922,True
SAFE_ANCHOR_E10,37,pcb4,pcb4/Data/Images/Anomaly/041.JPG,0.0012149615213274956,0.0021742554381489754,5.4843884100819196e-08,0.005805481690913439,0.01448766142129898,0.0012804197613149881,0.00023712670372333378,0.014250534717575647,0.0010432930575916544,0.1488095238095238,0.05505952380952381,False
SAFE_ANCHOR_E10,38,pcb4,pcb4/Data/Images/Anomaly/058.JPG,0.0019058935577049851,0.0025744482409209013,3.086289623865923e-08,0.0037362342700362206,0.0008694658172316849,0.0008124206797219813,0.00035226665204390883,0.0005171991651877761,0.00046015402767807245,0.39947780678851175,0.45454545454545453,True
SAFE_ANCHOR_E10,39,pcb4,pcb4/Data/Images/Anomaly/093.JPG,1.0221069715043996e-06,1.185547944260179e-06,3.171821276737319e-07,8.691297352925176e-07,2.7392604806664167e-07,3.377966777406982e-07,3.506696373278828e-07,-7.674358926124114e-08,-1.2872959587184596e-08,0.47333333333333333,0.5266666666666666,True
SAFE_ANCHOR_E10,44,macaroni2,macaroni2/Data/Images/Anomaly/052.JPG,1.7162662402370188e-07,2.0025800040457398e-07,1.2365974022543469e-08,1.835518190773655e-07,1.375428411165558e-07,1.192213829881439e-07,1.0075114431629117e-07,3.679169680026462e-08,1.8470238671852712e-08,0.3446153846153846,0.2,True
SAFE_ANCHOR_E10,45,macaroni2,macaroni2/Data/Images/Anomaly/016.JPG,1.5125141544558574e-05,1.7319289327133447e-05,1.298342588995638e-08,2.4709022909519263e-05,1.7404234313289635e-05,1.5505191186093725e-05,8.322427675011568e-06,9.081806638278067e-06,7.1827635110821575e-06,0.13592233009708737,0.0,True
