arm,index,image_id,category,label,area_ratio,connected_components,boundary_area_ratio,stage,branch,score_gap_g1,score_gap_g2,score_gap_g3,score_ss2d_g1,score_ss2d_g2,score_ss2d_g3,weight_gap_g1,weight_gap_g2,weight_gap_g3,weight_ss2d_g1,weight_ss2d_g2,weight_ss2d_g3,weight_final_g1,weight_final_g2,weight_final_g3,entropy_final,effective_groups,max_weight,gap_ss2d_l1,gap_ss2d_js
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,1,0.503919372900336,1,normal,-3.052734375,-0.6640625,0.2498779296875,81.375,17.765625,-6.6171875,0.02558685652911663,0.2788713872432709,0.6955417990684509,1.0,2.3702788159675576e-28,6.102088687554991e-39,0.12302817404270172,0.250984251499176,0.6259875893592834,0.8979660272598267,2.4546053409576416,0.6259875893592834,1.9488264322280884,0.633294939994812
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,1,0.503919372900336,1,abnormal,-3.93359375,-0.46533203125,0.294677734375,104.875,12.328125,-7.90625,0.009834825992584229,0.3155103623867035,0.6746548414230347,1.0,6.418087096454095e-41,0.0,0.1088513433933258,0.2839593291282654,0.6071893572807312,0.9018263816833496,2.464099407196045,0.6071893572807312,1.9803303480148315,0.6654782891273499
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,1,0.503919372900336,2,normal,-3.265625,-0.94970703125,0.1641845703125,96.5,28.265625,-4.6796875,0.023806698620319366,0.24126236140727997,0.7349309921264648,1.0,2.3237398021970337e-30,1.1210387714598537e-44,0.12142603099346161,0.21713611483573914,0.6614378690719604,0.861035943031311,2.365609884262085,0.6614378690719604,1.9523866176605225,0.6366111040115356
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,1,0.503919372900336,2,abnormal,-3.88671875,-0.49853515625,0.455322265625,114.8125,14.484375,-13.625,0.009304369799792767,0.2755221128463745,0.7151735424995422,1.0,2.6624670822171524e-44,0.0,0.10837393254041672,0.24796989560127258,0.6436561942100525,0.8701950311660767,2.387376546859741,0.6436561942100525,1.9813913106918335,0.6667138934135437
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,1,0.503919372900336,3,normal,-2.009765625,-0.4423828125,0.252685546875,-49.875,-10.9453125,6.3203125,0.06493214517831802,0.3112902045249939,0.6237776279449463,3.9326550226872077e-25,3.174200458033738e-08,1.0,0.05843893066048622,0.28016117215156555,0.6613999009132385,0.7958481311798096,2.2163197994232178,0.6613999009132385,0.7524446845054626,0.15238003432750702
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,1,0.503919372900336,3,abnormal,-2.73046875,-0.357421875,0.13037109375,-67.8125,-8.921875,3.19140625,0.0342392660677433,0.3673885464668274,0.5983721613883972,1.4567765132395914e-31,5.486134341481375e-06,0.9999945163726807,0.03081533871591091,0.3306502103805542,0.6385343670845032,0.7595916986465454,2.1374034881591797,0.6385343670845032,0.8032447099685669,0.16466361284255981
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,1,0.5525423728813559,1,normal,-3.041015625,-0.66162109375,0.2489013671875,81.375,17.78125,-6.6171875,0.025880588218569756,0.27946797013282776,0.6946514248847961,1.0,2.4076052642197266e-28,6.102088687554991e-39,0.12329252809286118,0.25152117013931274,0.6251862645149231,0.8988854885101318,2.4568634033203125,0.6251862645149231,1.948238730430603,0.6327536702156067
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,1,0.5525423728813559,1,abnormal,-3.91796875,-0.46337890625,0.29345703125,104.9375,12.328125,-7.90625,0.009990215301513672,0.3161434233188629,0.6738663911819458,1.0,6.029226772603958e-41,0.0,0.10899119824171066,0.28452906012535095,0.6064797639846802,0.902498722076416,2.46575665473938,0.6064797639846802,1.9800195693969727,0.6651190519332886
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,1,0.5525423728813559,2,normal,-3.314453125,-0.96337890625,0.166748046875,96.5625,28.265625,-4.6796875,0.022729558870196342,0.23858855664730072,0.7386819124221802,1.0,2.1829513139967887e-30,1.1210387714598537e-44,0.12045660614967346,0.2147296965122223,0.6648136973381042,0.8566862940788269,2.3553428649902344,0.6648136973381042,1.9545409679412842,0.6386488676071167
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,1,0.5525423728813559,2,abnormal,-3.943359375,-0.505859375,0.4619140625,114.8125,14.484375,-13.625,0.0087726516649127,0.2729091942310333,0.7183181643486023,1.0,2.6624670822171524e-44,0.0,0.1078953891992569,0.24561826884746552,0.6464863419532776,0.8670808672904968,2.379953384399414,0.6464863419532776,1.9824546575546265,0.6679675579071045
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,1,0.5525423728813559,3,normal,-2.041015625,-0.4521484375,0.253662109375,-49.96875,-10.9609375,6.328125,0.06321337819099426,0.3096315860748291,0.6271550059318542,3.5528579398685516e-25,3.100670298294972e-08,1.0,0.0568920373916626,0.27866843342781067,0.6644394993782043,0.7907809019088745,2.20511794090271,0.6644394993782043,0.7456899285316467,0.1507672667503357
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,1,0.5525423728813559,3,abnormal,-2.775390625,-0.35986328125,0.135498046875,-67.9375,-8.9375,3.197265625,0.03271310403943062,0.36624518036842346,0.6010416746139526,1.2780902047182709e-31,5.369526206777664e-06,0.9999946355819702,0.029441792517900467,0.32962119579315186,0.6409369707107544,0.7547138929367065,2.1270029544830322,0.6409369707107544,0.7979059219360352,0.16335472464561462
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,2,0.783175355450237,1,normal,-3.0390625,-0.6611328125,0.2489013671875,81.375,17.78125,-6.6171875,0.025926334783434868,0.279552161693573,0.6945214867591858,1.0,2.4076052642197266e-28,6.102088687554991e-39,0.12333370000123978,0.25159692764282227,0.6250693202018738,0.8990212678909302,2.4571971893310547,0.6250693202018738,1.9481472969055176,0.6326694488525391
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,2,0.783175355450237,1,abnormal,-3.91796875,-0.46337890625,0.29345703125,104.9375,12.328125,-7.90625,0.009990215301513672,0.3161434233188629,0.6738663911819458,1.0,6.029226772603958e-41,0.0,0.10899119824171066,0.28452906012535095,0.6064797639846802,0.902498722076416,2.46575665473938,0.6064797639846802,1.9800195693969727,0.6651190519332886
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,2,0.783175355450237,2,normal,-3.267578125,-0.9501953125,0.164306640625,96.5625,28.265625,-4.6796875,0.023762017488479614,0.24116253852844238,0.7350754141807556,1.0,2.1829513139967887e-30,1.1210387714598537e-44,0.12138581275939941,0.21704627573490143,0.6615678668022156,0.8608676195144653,2.3652117252349854,0.6615678668022156,1.9524760246276855,0.636695146560669
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,2,0.783175355450237,2,abnormal,-3.888671875,-0.498779296875,0.45556640625,114.8125,14.484375,-13.625,0.009285387583076954,0.27543026208877563,0.7152843475341797,1.0,2.6624670822171524e-44,0.0,0.10835684835910797,0.24788722395896912,0.6437559127807617,0.8700857162475586,2.387115478515625,0.6437559127807617,1.981429100036621,0.6667584180831909
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,2,0.783175355450237,3,normal,-1.99609375,-0.4404296875,0.249755859375,-49.96875,-10.96875,6.33203125,0.06584721058607101,0.3119993805885315,0.6221534609794617,3.539006528449002e-25,3.0645463056089284e-08,1.0,0.059262488037347794,0.2807994484901428,0.6599380970001221,0.7983865141868591,2.2219529151916504,0.6599380970001221,0.7556930780410767,0.15315760672092438
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,2,0.783175355450237,3,abnormal,-2.712890625,-0.35400390625,0.130615234375,-67.9375,-8.9453125,3.19921875,0.034776508808135986,0.36790648102760315,0.5973170399665833,1.2755963934530014e-31,5.317343948263442e-06,0.9999946355819702,0.03129885718226433,0.33111634850502014,0.6375848054885864,0.7613592743873596,2.1411845684051514,0.6375848054885864,0.8053553104400635,0.1651831716299057
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,20,1.0,1,normal,-3.05859375,-0.66552734375,0.25048828125,81.375,17.765625,-6.6171875,0.025440754368901253,0.2785002291202545,0.696058988571167,1.0,2.3702788159675576e-28,6.102088687554991e-39,0.12289667874574661,0.25065019726753235,0.6264531016349792,0.8974462747573853,2.4533300399780273,0.6264531016349792,1.9491184949874878,0.6335647106170654
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,20,1.0,1,abnormal,-3.943359375,-0.46630859375,0.29541015625,104.875,12.328125,-7.90625,0.00973836611956358,0.31517377495765686,0.6750878691673279,1.0,6.418087096454095e-41,0.0,0.10876452922821045,0.28365638852119446,0.6075790524482727,0.9014465808868408,2.4631636142730713,0.6075790524482727,1.9805232286453247,0.6657018661499023
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,20,1.0,2,normal,-3.271484375,-0.951171875,0.1646728515625,96.5625,28.265625,-4.6796875,0.02367076836526394,0.24094130098819733,0.735387921333313,1.0,2.1829513139967887e-30,1.1210387714598537e-44,0.12130369246006012,0.21684716641902924,0.6618491411209106,0.8605063557624817,2.3643574714660645,0.6618491411209106,1.9526584148406982,0.6368668675422668
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,20,1.0,2,abnormal,-3.89453125,-0.49951171875,0.4560546875,114.8125,14.484375,-13.625,0.009230276569724083,0.2752028703689575,0.7155667543411255,1.0,2.6624670822171524e-44,0.0,0.10830724984407425,0.2476825714111328,0.644010066986084,0.8698018789291382,2.3864381313323975,0.644010066986084,1.9815393686294556,0.666887640953064
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,20,1.0,3,normal,-2.044921875,-0.45263671875,0.25439453125,-49.90625,-10.953125,6.32421875,0.06296303868293762,0.3094612956047058,0.6275756359100342,3.796799862780374e-25,3.137219550808368e-08,1.0,0.05666673183441162,0.27851516008377075,0.6648181080818176,0.7900934219360352,2.2036023139953613,0.6648181080818176,0.7448486685752869,0.15056678652763367
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,20,1.0,3,abnormal,-2.779296875,-0.36083984375,0.1353759765625,-67.8125,-8.9296875,3.193359375,0.03260377421975136,0.36609211564064026,0.6013041138648987,1.453934050349868e-31,5.432818852568744e-06,0.9999945163726807,0.029343396425247192,0.32948341965675354,0.6411731243133545,0.7543189525604248,2.1261632442474365,0.6411731243133545,0.7973808646202087,0.16322585940361023
