category,label_type,manifest_position,file_name,role
candle,normal,1,candle/Data/Images/Normal/0994.JPG,CALIBRATION
candle,normal,2,candle/Data/Images/Normal/0214.JPG,CALIBRATION
candle,normal,3,candle/Data/Images/Normal/0844.JPG,CALIBRATION
candle,normal,4,candle/Data/Images/Normal/0659.JPG,CALIBRATION
candle,anomaly,1,candle/Data/Images/Anomaly/004.JPG,CALIBRATION
candle,anomaly,2,candle/Data/Images/Anomaly/011.JPG,CALIBRATION
candle,anomaly,3,candle/Data/Images/Anomaly/010.JPG,CALIBRATION
candle,anomaly,4,candle/Data/Images/Anomaly/071.JPG,CALIBRATION
pcb3,normal,1,pcb3/Data/Images/Normal/0725.JPG,CALIBRATION
pcb3,normal,2,pcb3/Data/Images/Normal/0940.JPG,CALIBRATION
pcb3,normal,3,pcb3/Data/Images/Normal/0215.JPG,CALIBRATION
pcb3,normal,4,pcb3/Data/Images/Normal/0024.JPG,CALIBRATION
pcb3,anomaly,1,pcb3/Data/Images/Anomaly/062.JPG,CALIBRATION
pcb3,anomaly,2,pcb3/Data/Images/Anomaly/024.JPG,CALIBRATION
pcb3,anomaly,3,pcb3/Data/Images/Anomaly/078.JPG,CALIBRATION
pcb3,anomaly,4,pcb3/Data/Images/Anomaly/057.JPG,CALIBRATION
capsules,normal,1,capsules/Data/Images/Normal/179.JPG,CALIBRATION
capsules,normal,2,capsules/Data/Images/Normal/016.JPG,CALIBRATION
capsules,normal,3,capsules/Data/Images/Normal/417.JPG,CALIBRATION
capsules,normal,4,capsules/Data/Images/Normal/402.JPG,CALIBRATION
capsules,anomaly,1,capsules/Data/Images/Anomaly/050.JPG,CALIBRATION
capsules,anomaly,2,capsules/Data/Images/Anomaly/056.JPG,CALIBRATION
capsules,anomaly,3,capsules/Data/Images/Anomaly/090.JPG,CALIBRATION
capsules,anomaly,4,capsules/Data/Images/Anomaly/041.JPG,CALIBRATION
pipe_fryum,normal,1,pipe_fryum/Data/Images/Normal/098.JPG,CALIBRATION
pipe_fryum,normal,2,pipe_fryum/Data/Images/Normal/084.JPG,CALIBRATION
pipe_fryum,normal,3,pipe_fryum/Data/Images/Normal/369.JPG,CALIBRATION
pipe_fryum,normal,4,pipe_fryum/Data/Images/Normal/484.JPG,CALIBRATION
pipe_fryum,anomaly,1,pipe_fryum/Data/Images/Anomaly/069.JPG,CALIBRATION
pipe_fryum,anomaly,2,pipe_fryum/Data/Images/Anomaly/054.JPG,CALIBRATION
pipe_fryum,anomaly,3,pipe_fryum/Data/Images/Anomaly/067.JPG,CALIBRATION
pipe_fryum,anomaly,4,pipe_fryum/Data/Images/Anomaly/017.JPG,CALIBRATION
pcb4,normal,1,pcb4/Data/Images/Normal/0654.JPG,CALIBRATION
pcb4,normal,2,pcb4/Data/Images/Normal/0377.JPG,CALIBRATION
pcb4,normal,3,pcb4/Data/Images/Normal/0994.JPG,CALIBRATION
pcb4,normal,4,pcb4/Data/Images/Normal/0952.JPG,CALIBRATION
pcb4,anomaly,1,pcb4/Data/Images/Anomaly/024.JPG,CALIBRATION
pcb4,anomaly,2,pcb4/Data/Images/Anomaly/077.JPG,CALIBRATION
pcb4,anomaly,3,pcb4/Data/Images/Anomaly/049.JPG,CALIBRATION
pcb4,anomaly,4,pcb4/Data/Images/Anomaly/011.JPG,CALIBRATION
macaroni2,normal,1,macaroni2/Data/Images/Normal/0920.JPG,CALIBRATION
macaroni2,normal,2,macaroni2/Data/Images/Normal/0694.JPG,CALIBRATION
macaroni2,normal,3,macaroni2/Data/Images/Normal/0187.JPG,CALIBRATION
macaroni2,normal,4,macaroni2/Data/Images/Normal/0377.JPG,CALIBRATION
macaroni2,anomaly,1,macaroni2/Data/Images/Anomaly/026.JPG,CALIBRATION
macaroni2,anomaly,2,macaroni2/Data/Images/Anomaly/083.JPG,CALIBRATION
macaroni2,anomaly,3,macaroni2/Data/Images/Anomaly/040.JPG,CALIBRATION
macaroni2,anomaly,4,macaroni2/Data/Images/Anomaly/070.JPG,CALIBRATION
pcb2,normal,1,pcb2/Data/Images/Normal/0168.JPG,CALIBRATION
pcb2,normal,2,pcb2/Data/Images/Normal/0923.JPG,CALIBRATION
pcb2,normal,3,pcb2/Data/Images/Normal/0178.JPG,CALIBRATION
pcb2,normal,4,pcb2/Data/Images/Normal/0800.JPG,CALIBRATION
pcb2,anomaly,1,pcb2/Data/Images/Anomaly/062.JPG,CALIBRATION
pcb2,anomaly,2,pcb2/Data/Images/Anomaly/055.JPG,CALIBRATION
pcb2,anomaly,3,pcb2/Data/Images/Anomaly/091.JPG,CALIBRATION
