class,image_path,patch,E_raw,T_v2,p1_p8_contaminated,p1_p8_multiple_contaminated,p9_index,p16_index,quality_quartiles
candle,candle/Data/Images/Anomaly/000.JPG,236,0.9853801727294922,0.8118900656700134,False,False,690,1254,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/000.JPG,359,0.9710038304328918,0.920746386051178,False,False,611,260,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/000.JPG,396,0.9688109755516052,0.7519079446792603,False,False,818,61,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/000.JPG,508,0.9812378287315369,0.7609540224075317,False,False,528,346,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/000.JPG,563,0.9914717674255371,0.8153253197669983,False,False,182,1254,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/000.JPG,566,0.9805068373680115,0.7732915878295898,False,False,690,260,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/000.JPG,836,0.9405458569526672,0.8798123002052307,False,False,9,205,4;2;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/000.JPG,1008,0.9115497469902039,0.7710495591163635,False,False,9,611,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/000.JPG,1025,0.9505360722541809,0.9167509078979492,False,False,1266,182,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/000.JPG,1026,0.9312865734100342,0.9819550514221191,False,False,1132,205,4;2;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/000.JPG,1137,0.8935185074806213,0.8256531357765198,False,False,1132,528,4;1;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,232,0.90423983335495,0.902427613735199,False,False,863,885,4;1;1;2;4;4;4;4;4;2
candle,candle/Data/Images/Anomaly/001.JPG,233,0.9366471767425537,0.930174708366394,False,False,241,648,4;1;1;2;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,343,0.9354288578033447,0.7667548060417175,False,False,91,1241,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,379,0.9490740895271301,0.858047604560852,False,False,723,1305,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,380,0.9424951076507568,0.8902527093887329,False,False,723,1288,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,396,0.9610136151313782,0.9639710187911987,False,False,723,796,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,417,0.9607699513435364,0.8720957040786743,False,False,104,194,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,433,0.9463937282562256,0.8276984095573425,False,False,104,194,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,454,0.9366471767425537,0.800950825214386,False,False,885,648,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,470,0.9480994343757629,0.8313477039337158,False,False,749,91,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,489,0.9344542026519775,0.8591544032096863,False,False,628,719,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,544,0.9061890244483948,0.7797932624816895,False,False,697,723,4;1;1;1;4;4;4;4;4;2
candle,candle/Data/Images/Anomaly/001.JPG,872,0.9376218318939209,0.7789309620857239,False,False,723,588,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,897,0.9502924084663391,0.8991791605949402,False,False,56,723,4;2;1;2;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,899,0.9805068373680115,0.9981438517570496,False,False,697,250,4;2;1;2;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,936,0.9814814925193787,0.9969075918197632,False,False,697,134,4;2;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,951,0.9110624194145203,0.8431389927864075,False,False,628,1196,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,956,0.9200779795646667,0.7723745703697205,False,False,1155,749,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,986,0.9169103503227234,0.7941077947616577,False,False,697,188,4;1;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,989,0.8979044556617737,0.9455906748771667,False,False,697,719,4;1;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1009,0.9434698224067688,0.9116917252540588,False,False,723,194,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1022,0.9127680659294128,0.9031076431274414,False,False,63,241,4;2;1;4;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1023,0.9349415302276611,0.9608484506607056,False,False,241,1034,4;2;1;4;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1024,0.9083821177482605,0.9722558856010437,False,False,597,219,4;3;1;3;4;4;4;4;4;2
candle,candle/Data/Images/Anomaly/001.JPG,1025,0.9622319340705872,0.9757171273231506,False,False,736,1305,4;3;1;2;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1026,0.9583333134651184,0.9088449478149414,False,False,91,1241,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1058,0.9342105388641357,0.9744733572006226,False,False,56,219,4;1;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1059,0.9537037014961243,0.9996458292007446,False,False,92,719,4;2;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1060,0.9517543911933899,0.9998717904090881,False,False,482,219,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1061,0.9605262875556946,0.9991752505302429,False,False,223,588,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1062,0.9729532599449158,0.9983299970626831,False,False,104,588,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1094,0.930311918258667,0.928813636302948,False,False,1108,91,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1095,0.933966875076294,0.9942752718925476,False,False,1196,719,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1099,0.9841617941856384,0.9443821310997009,False,False,134,749,4;3;1;2;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1100,0.9354288578033447,0.8485711812973022,False,False,91,863,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1120,0.9390838146209717,0.7906304597854614,False,False,885,194,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1131,0.956384003162384,0.9457237720489502,False,False,697,796,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1136,0.9719786047935486,0.9924528002738953,False,False,91,51,4;3;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1169,0.9729532599449158,0.9996681213378906,False,False,719,749,4;2;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1172,0.9495614171028137,0.9990262389183044,False,False,628,1108,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/001.JPG,1173,0.9639375805854797,0.9945769309997559,False,False,1225,482,4;2;1;4;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1207,0.9488304257392883,0.9759159088134766,False,False,1196,219,4;1;1;3;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1208,0.9037525057792664,0.9668880105018616,False,False,697,849,4;1;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/001.JPG,1209,0.8657407760620117,0.9130215644836426,False,False,697,104,4;1;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/002.JPG,160,0.9208089709281921,0.9051087498664856,False,False,671,661,4;1;1;1;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/002.JPG,172,0.8952241539955139,0.8130568265914917,False,False,998,221,4;1;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/002.JPG,342,0.8935185074806213,0.7779597043991089,False,False,74,117,4;2;1;2;4;4;4;4;4;2
candle,candle/Data/Images/Anomaly/002.JPG,343,0.9451754689216614,0.965639591217041,False,False,807,1347,4;3;1;3;4;4;4;4;4;3
candle,candle/Data/Images/Anomaly/002.JPG,359,0.8654971122741699,0.7977132797241211,False,False,16,516,4;2;1;1;4;4;4;4;4;2
candle,candle/Data/Images/Anomaly/002.JPG,379,0.9558966755867004,0.9803228974342346,False,False,1272,661,4;2;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/002.JPG,380,0.9566276669502258,0.9700825214385986,False,False,998,661,4;1;1;1;4;4;4;4;4;4
candle,candle/Data/Images/Anomaly/002.JPG,388,0.8255360722541809,0.8506994247436523,False,False,812,1347,4;1;1;1;4;4;4;4;4;4
