D_rank_i,D_rank_j,E_aligned_gap,E_aligned_i,E_aligned_j,E_shifted_gap,E_shifted_i,E_shifted_j,abs_base_rank_gap,abs_score_gap,aligned_correct,aligned_corrected_gap,aligned_pair_rank_displacement,aligned_transition,base_correct,chebyshev_distance,class,col_i,col_j,delta_col,delta_row,euclidean_distance,image_id,image_identity,m_bar_i,m_bar_j,patch_i,patch_j,row_i,row_j,schema_version,shifted_correct,shifted_corrected_gap,shifted_pair_rank_displacement,shifted_transition,signed_base_rank_gap,signed_score_gap,stable_base_rank_i,stable_base_rank_j,valid_reference_i,valid_reference_j
0.29927998781204224,0.3026588559150696,0.6215261816978455,0.6413024663925171,0.01977626606822014,-0.002926349639892578,0.001542766927741468,0.004469116684049368,114,12.908418655395508,True,12.945423126220703,3,preserved,True,6,candle,29,23,6,1,6.082762530298219,0,candle/Data/Images/Anomaly/004.JPG,-5.235692977905273,-18.14411163330078,325,282,8,7,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.7684898376464844,5,broken,-114,12.908418655395508,7,121,True,True
0.3707907795906067,0.3493817150592804,0.15926364064216614,0.17858877778053284,0.0193251371383667,-0.0032623608130961657,0.0005944172735325992,0.0038567781448364258,104,3.9034318923950195,True,3.9168481826782227,1,preserved,True,20,candle,30,23,7,-20,21.18962010041709,0,candle/Data/Images/Anomaly/004.JPG,-14.261284828186035,-18.164716720581055,326,1059,8,28,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.9068202972412109,17,broken,-104,3.9034318923950195,21,125,True,True
0.3703297972679138,0.34789639711380005,0.05527875944972038,0.09098830074071884,0.03570954129099846,-0.003497958416119218,0.00031729540205560625,0.0038152537308633327,38,1.4616975784301758,True,0.9124660491943359,6,preserved,True,11,candle,29,25,4,11,11.704699910719626,1,candle/Data/Images/Anomaly/011.JPG,-14.95154857635498,-16.413246154785156,1176,765,31,20,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.536865234375,18,broken,-38,1.4616975784301758,35,73,True,True
0.3180577754974365,0.3290352523326874,-0.0068693761713802814,0.006435771938413382,0.013305148109793663,-0.0015829206677153707,0.0005523165455088019,0.0021352372132241726,35,0.06170463562011719,False,-0.039272308349609375,8,broken,True,32,candle,30,15,15,32,35.34119409414458,1,candle/Data/Images/Anomaly/011.JPG,-18.112565994262695,-18.174270629882812,1214,15,32,0,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.13686370849609375,4,broken,-35,0.06170463562011719,489,524,True,True
0.3634868264198303,0.4047575294971466,-0.011922459118068218,0.009617428295314312,0.02153988741338253,0.03261673450469971,0.035041093826293945,0.0024243593215942383,103,0.09187698364257812,False,-0.08443069458007812,1,missed,False,30,candle,25,12,13,30,32.69556544854363,1,candle/Data/Images/Anomaly/011.JPG,-18.62813377380371,-18.536256790161133,1246,123,33,3,B31R2_RAW_PAIR_GEOMETRY_v1,True,0.08443069458007812,4,rescued,103,-0.09187698364257812,938,835,True,True
0.33195632696151733,0.2966761887073517,0.0057607293128967285,0.015579144470393658,0.00981841515749693,-0.00047268468188121915,0.0008683602209202945,0.0013410449028015137,18,0.040149688720703125,True,0.19194793701171875,7,preserved,True,24,candle,30,6,24,19,30.610455730027933,1,candle/Data/Images/Anomaly/011.JPG,-17.822187423706055,-17.862337112426758,1251,524,33,14,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.13623619079589844,6,broken,-18,0.040149688720703125,348,366,True,True
0.2926809787750244,0.3022959530353546,0.0012933015823364258,0.005775809288024902,0.0044825077056884766,-0.005783240310847759,0.002890984294936061,0.008674224838614464,109,0.13055801391601562,True,0.02346038818359375,7,rescued,False,19,candle,10,25,-15,19,24.20743687382041,2,candle/Data/Images/Anomaly/010.JPG,-18.77811622619629,-18.647558212280273,750,62,20,1,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.04896736145019531,3,missed,109,-0.13055801391601562,532,423,True,True
0.34770330786705017,0.3372460603713989,0.009507697075605392,0.016953807324171066,0.007446110248565674,-0.00048593664541840553,0.006289382930845022,0.006775319576263428,30,0.06882095336914062,True,0.069366455078125,14,rescued,False,23,candle,12,35,-23,-11,25.495097567963924,2,candle/Data/Images/Anomaly/010.JPG,-18.450716018676758,-18.381895065307617,789,1219,21,32,B31R2_RAW_PAIR_GEOMETRY_v1,False,-0.010328292846679688,4,missed,30,-0.06882095336914062,313,283,True,True
0.3025587797164917,0.31340017914772034,0.44275644421577454,0.48112553358078003,0.03836910054087639,0.01571345515549183,0.01803455874323845,0.002321104286238551,99,9.321012496948242,True,9.321012496948242,0,preserved,True,11,candle,31,20,11,-3,11.40175425099138,3,candle/Data/Images/Anomaly/071.JPG,-7.3134331703186035,-16.634445190429688,401,501,10,13,B31R2_RAW_PAIR_GEOMETRY_v1,True,9.070013046264648,2,preserved,-99,9.321012496948242,18,117,True,True
0.2989365756511688,0.30257704854011536,0.258279949426651,0.3160543143749237,0.057774364948272705,0.00039571523666381836,0.0007951855659484863,0.00039947032928466797,62,5.628335952758789,True,5.944236755371094,1,preserved,True,18,candle,31,13,18,-10,20.591260281974,3,candle/Data/Images/Anomaly/071.JPG,-10.439208984375,-16.06754493713379,475,827,12,22,B31R2_RAW_PAIR_GEOMETRY_v1,True,0.04319572448730469,6,preserved,-62,5.628335952758789,27,89,True,True
