epoch,target,scope,alpha05_max,alpha05_pixel_ap,alpha05_pixel_auroc,alpha0_max,alpha0_pixel_ap,alpha0_pixel_auroc,class_name,delta_pixel_ap,delta_pixel_auroc,image_label,image_path,mask_coverage,score_diff_abs_mean,score_diff_max,score_diff_mean,score_diff_min,score_diff_negative_mean,score_diff_positive_mean
12,Brain,medical,5.6266140745719895e-05,,,5.585210237768479e-05,,,Brain,,,0,good/img/00000_96.png,0.0,2.60499000148684e-09,4.6821514843031764e-07,2.60499000148684e-09,5.291012072916601e-11,2.604989951133647e-09,
12,Brain,medical,2.600986135803396e-06,,,2.45229034590011e-06,,,Brain,,,0,good/img/00000_97.png,0.0,1.7266251761682838e-09,1.4919964996806812e-07,1.726492726561446e-09,-8.93720653039054e-11,1.726492622250365e-09,
12,Brain,medical,7.02397244367603e-07,,,6.87542353716708e-07,,,Brain,,,0,good/img/00000_98.png,0.0,6.567348886932223e-10,1.4854890650894959e-08,6.56729781667309e-10,-1.1818102052529866e-11,6.567297628287204e-10,
12,Brain,medical,2.2035538904674468e-07,,,2.086181467575443e-07,,,Brain,,,0,good/img/00000_99.png,0.0,6.592522638904086e-10,1.1737242289200367e-08,6.592522638904086e-10,9.273870560377873e-11,6.592522088509461e-10,
12,Brain,medical,0.5852448344230652,,,0.5823794603347778,,,Brain,,,0,good/img/00011_60.png,0.0,0.00014546372403856367,0.00644250214099884,0.00014546372403856367,2.5199042852364073e-10,0.00014546372993864184,
12,Brain,medical,0.14061178267002106,,,0.13889501988887787,,,Brain,,,0,good/img/00011_61.png,0.0,3.124738941551186e-05,0.0022528544068336487,3.124738941551186e-05,8.47584225027731e-11,3.1247389924893366e-05,
12,Brain,medical,0.005629269406199455,,,0.005638384260237217,,,Brain,,,0,good/img/00011_62.png,0.0,6.398550453923235e-07,4.9710157327353954e-05,5.31637851963751e-07,-1.0600779205560684e-05,5.316379144574746e-07,
12,Brain,medical,0.00901718158274889,,,0.008853328414261341,,,Brain,,,0,good/img/00011_63.png,0.0,3.221193765057251e-06,0.00016473233699798584,3.221193765057251e-06,1.0472023248553342e-10,3.2211941075785875e-06,
12,Brain,medical,0.9779781699180603,,,0.9779656529426575,,,Brain,,,0,good/img/00018_60.png,0.0,4.763293873111252e-06,0.001043081283569336,4.763293873111252e-06,3.625659772410472e-10,4.763293806697446e-06,
12,Brain,medical,0.9539657235145569,,,0.9538974165916443,,,Brain,,,0,good/img/00018_61.png,0.0,1.1362563782313373e-05,0.0017767846584320068,1.1362563782313373e-05,2.6700508470867135e-10,1.136256443367781e-05,
12,Brain,medical,0.9989861845970154,,,0.9989858269691467,,,Brain,,,0,good/img/00018_62.png,0.0,0.00011090756743215024,0.0028533637523651123,0.00011090756743215024,1.650356296067912e-09,0.00011090757174015643,
12,Brain,medical,0.9908017516136169,,,0.9907951951026917,,,Brain,,,0,good/img/00018_63.png,0.0,2.5789238861761987e-05,0.001416712999343872,2.5769104468054138e-05,-2.5838613510131836e-05,2.576910438246478e-05,
12,Brain,medical,0.0011535084340721369,,,0.0011512767523527145,,,Brain,,,0,good/img/00020_94.png,0.0,1.5928147689692196e-08,2.334883902221918e-06,1.5928147689692196e-08,9.495382258251084e-11,1.5928148399320683e-08,
12,Brain,medical,0.0005139701534062624,,,0.0005124532617628574,,,Brain,,,0,good/img/00020_95.png,0.0,9.551804680540954e-09,1.531705493107438e-06,9.551804680540954e-09,6.033040733655071e-11,9.551805470439289e-09,
